1766	Khān Khiyām al Walīd	Khan Khiyam al Walid	Khan Khiyam al Walid,Khān Khiyām al Walīd,khan khyam alwlyd,خان خيام الوليد	33.14464	35.65446	S	RUIN	IL		03				0		145	Asia/Jerusalem	2014-01-08
163223	Ein El-Hinah	Ein El-Hinah	Ain ett Tine,Aïn ett Tîné,`Ayn at Tinah,ʻyn ʼl-hynh,עין אל-חינה,‘Ayn at Tīnah	33.2726	35.6475	H	SPNG	IL		03				0		284	Asia/Jerusalem	2013-09-12
163398	Ein El-Tanur	Ein El-Tanur	Ain ett Tannour,Aïn ett Tannoûr,`Ayn at Tannur,ʻyn ʼl-tnwr,עין אל-תנור,‘Ayn at Tannūr	33.27296	35.65183	H	SPNG	IL		03				0		299	Asia/Jerusalem	2013-09-12
164040	Naẖal Kanaf	Nahal Kanaf	Nahal Kanaf,Naẖal Kanaf,Wadi as Soumtaa,Wadi as Sumtah,Wādī as Soumtâa,Wādī aş Şumţāh,nhl knp,wady alsmtat,נחל כנף,وادي الصمطاة	32.85991	35.64314	H	WAD	IL		03				0		-211	Asia/Jerusalem	2014-07-08
164881	Wādī as Samak	Wadi as Samak	Nahal Samakh,Naẖal Samakh,Wadi as Samak,Wādī as Samak,nhl smk,wady alsmk,נחל סמך,وادي السمك	32.83414	35.64102	H	WAD	IL	SY	03				0		-212	Asia/Jerusalem	2014-07-08
165537	Mitzpeh Ramta	Mitzpeh Ramta	Ramta,Ramtha,Ramthā,mzph rmth,rmtha,מצפה רמתה,رمثا	33.28537	35.68997	T	HLL	IL		03				0		1183	Asia/Jerusalem	2013-09-12
166771	Hirbat Shab‘ā	Hirbat Shab'a	Mourhr Chebaa,Mourhr Chébaâ,Mughr Shab`a,Mughr Shab‘ā,مغر شبعا	33.26669	35.66144	P	PPLQ	IL		03				0		473	Asia/Jerusalem	2013-09-12
166932	Mazra‘at Zabdīn	Mazra'at Zabdin	Mazra`at Zabdin,Mazraat Zebdine,Mazraat Zebdîne,Mazra‘at Zabdīn,مزرعة زبدين	33.27731	35.68665	P	PPLQ	IL		03				0		869	Asia/Jerusalem	2013-09-12
166947	Mazra‘at Barakhtā	Mazra'at Barakhta	Mazra`at Barakhta,Mazra‘at Barakhtā,مزرعة برختا	33.31667	35.73333	P	PPLQ	IL		03				0		1338	Asia/Jerusalem	2013-09-12
167636	Ma‘agan	Ma`agan	Ma`agan,Ma‘agan	32.70634	35.60057	P	PPL	IL		03				0		-198	Asia/Jerusalem	2013-11-21
167661	Naẖal Dan	Nahal Dan	Nahal Dan,Nahr al Liddani,Nahr al Liddānī,Naẖal Dan,nhl dn,nhr alldany,נחל דן,نهر اللداني	33.1874	35.61947	H	STM	IL	IL	00				0		80	Asia/Jerusalem	2014-03-06
